gene,drug,gene_symbol_of_protein_target,tumor_type,Q_value,p_value,correlation_r,data_size,gex_dir,gex_r,gex_z,gex_num_cells,cnv_dir,cnv_r,cnv_z,cnv_num_cells,Q_value_dep,p_value_dep,correlation_r_dep,data_size_dep
RBFOX1,sirolimus:bortezomib (250:1 mol/mol),MTOR;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,PanCancer,24.76864431238893,0.007574508964033311,-0.12658158347716209,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
TPTE,YM-155,BIRC5,PanCancer,26.09054464881713,0.007978759831442547,0.13264329454808071,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
RBFOX1,CD-1530,RARG,PanCancer,26.316129058516406,0.008047745889454559,-0.1300828204238674,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,ML006,S1PR3,PanCancer,26.697488756941226,0.008164369650440742,-0.12726570572735726,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,SKI-II,SPHK1,PanCancer,28.114864398311774,0.00859781785881094,0.12761533939216801,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB5,MI-1,MEN1,PanCancer,29.183996352447597,0.008924769526742385,0.13174960862428522,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DQA1,BMS-754807,IGF1R,PanCancer,31.298749870806603,0.00957148314091945,0.12297902905863912,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724591185474282,0.7874318642457138,0.01469871262956253,339.0
RBFOX1,RITA,MDM2;TP53,PanCancer,32.12912602331181,0.009825420802236027,-0.12424499031339149,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,MI-1,MEN1,PanCancer,34.66435424266551,0.010600719951885478,0.12878555939043293,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,SID 26681509,CTSL1,PanCancer,34.94714281230169,0.010687199636789508,0.12704119991306992,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,SKI-II,SPHK1,PanCancer,35.86664824606308,0.010968393959040697,0.12357043838501991,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,SB-743921,KIF11,PanCancer,36.445551203706074,0.011145428502662407,-0.12089922475209595,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,SID 26681509,CTSL1,PanCancer,43.80122734714221,0.013394870748361532,0.12310706708981535,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB1,ABT-737,BCL2;BCL2L1;BCL2L2,PanCancer,44.84172897384372,0.013713066964478202,0.1213463622541612,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,ML083,PKM,PanCancer,48.18688977029673,0.014736051917521935,-0.11727155075609008,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,BRD-K03536150,BAX,PanCancer,50.73946740651412,0.015516656699239793,-0.11637794118296468,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,ISOX:bortezomib (250:1 mol/mol),HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,PanCancer,51.11302764786938,0.01563089530515883,-0.11720296104878489,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,ISOX,HDAC6,PanCancer,51.504169883599474,0.015750510667767424,-0.11558456078864898,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,ML083,PKM,PanCancer,51.76528835259384,0.015830363410579158,-0.11602989576490011,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,BRD-K24690302,HDAC1,PanCancer,53.5559371306333,0.016377962425270124,-0.11386735340110539,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,SMER-3,CUL1;SKP1,PanCancer,53.86154000411663,0.016471418961503555,-0.1226459940001446,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,vorinostat:carboplatin (1:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,53.905200654584796,0.01648477084238067,-0.11613144630772661,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,VER-155008,HSPA1A;HSPA1B;HSPA1L,PanCancer,54.20811745114166,0.016577405948361365,0.11353074464480312,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,fingolimod,S1PR1,PanCancer,55.39395429861204,0.01694004718611989,-0.1148453759291858,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,PRIMA-1-Met,TP53,PanCancer,55.432673503520896,0.016951887921566024,-0.1580063999865109,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,VU0155056,PLD1;PLD2,PanCancer,56.17630844814792,0.0171792992196171,-0.11407245343516313,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQB1,ML258,BCL2L10,PanCancer,56.31088279414921,0.01722045345386826,0.11351146458303292,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
RBFOX1,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,56.444298461001154,0.01726125335198812,-0.11321339004883031,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,ETP-46464,ATM;ATR,PanCancer,60.05544530585141,0.018365579604235904,-0.13608282706447827,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQA1,avrainvillamide,NPM1,PanCancer,60.27733880688125,0.018433436944000382,-0.13488623958723456,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724591185474282,0.7874318642457138,0.01469871262956253,339.0
RBFOX1,BRD-A94377914,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,60.85552881308621,0.01861025345965939,-0.15244831618212126,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,tretinoin:carboplatin (2:1 mol/mol),RARA;RARB;RARG,PanCancer,61.915692277246784,0.01893446247010605,-0.11393658322468313,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,serdemetan:SCH-529074 (1:1 mol/mol),MDM2;TP53,PanCancer,62.071746003773576,0.018982185322254916,-0.112572386462488,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,PDMP,UGCG,PanCancer,62.47680630864812,0.01910605697512175,0.1150006639522002,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DQA1,bafilomycin A1,ATP6V0A1,PanCancer,62.64450851448375,0.019157342053358947,-0.33359951291991385,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724591185474282,0.7874318642457138,0.01469871262956253,339.0
HLA-DQB1,bafilomycin A1,ATP6V0A1,PanCancer,62.6530914662669,0.019159966809255934,-0.3335926538037588,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB5,PDMP,UGCG,PanCancer,62.85484074706371,0.01922166383702254,0.11489092109071916,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,PIK-93,PIK3CG,PanCancer,63.177013283656336,0.019320187548518757,-0.114248900688227,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,66.01993745837991,0.02018958332060548,0.11045911725533536,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB5,Compound 7d-cis,XPO1,PanCancer,68.51559424494957,0.020952781114663477,0.11733850446381527,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,ceranib-2,ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B,PanCancer,69.73274590206242,0.02132499874680808,-0.10948422126488,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,GSK4112,NR1D1,PanCancer,70.33513326244571,0.021509215064968105,0.1090838878960104,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,tosedostat,ANPEP;LAP3;NPEPPS,PanCancer,71.97421342992696,0.022010462822607633,-0.11186577637430233,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,entinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,73.79140444396002,0.022566178729039762,-0.11022805242949298,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,LY-2157299,TGFBR1,PanCancer,74.22145725267055,0.022697693349440533,0.20130005221904967,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB5,ABT-737,BCL2;BCL2L1;BCL2L2,PanCancer,75.43201316739272,0.023067893934982486,0.11193664963492228,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,BRD-K80183349,HDAC1;HDAC2,PanCancer,76.9414183066818,0.0235294857206978,-0.10857653216957427,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,importazole,KPNB1,PanCancer,77.13377193009264,0.023588309458743927,-0.10954271561531084,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQB1,KU-55933,ATM,PanCancer,81.21964421051207,0.024837811685171886,-0.10758465986464338,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB5,selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG,PanCancer,82.42648127506911,0.025206875007666392,0.10670157745929797,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DQB1,SCH-529074,TP53,PanCancer,82.584305543077,0.02525513930980948,0.10983226320723594,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB5,BMS-754807,IGF1R,PanCancer,83.27951281326659,0.025467740921488253,0.10615145312461001,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,leptomycin B,XPO1,PanCancer,86.11592362119275,0.026335144838285245,-0.1043658627189036,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,sirolimus,MTOR,PanCancer,86.88668858404891,0.026570852777996607,-0.10513633717844588,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,PHA-793887,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9,PanCancer,87.06580065314425,0.026625627111053287,0.10545461003463026,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB1,LY-2157299,TGFBR1,PanCancer,87.7248954564065,0.026827185154864375,0.19571714809768828,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,GSK4112,NR1D1,PanCancer,95.95723497849691,0.029344720176910373,-0.10341656369169995,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,Ko-143,ABCG2,PanCancer,96.05910144411769,0.029375872001259233,0.1041027599114196,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB1,JQ-1:vorinostat (2:1 mol/mol),BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,97.83847901160298,0.029920024162569718,0.10533321546328384,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,BMS-754807,IGF1R,PanCancer,99.36673283385223,0.030387380071514442,0.10288003632304323,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1;MAP2K2;PIK3CA;PIK3CB;PIK3CD;PIK3CG,PanCancer,100.96026063834667,0.03087469744291947,0.10293053969393895,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,N9-isopropylolomoucine,CCNB1;CDK1;CDK5;CDK5R1,PanCancer,101.17108912171547,0.030939170985234087,-0.10444628792117262,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,RITA,MDM2;TP53,PanCancer,102.33758241070709,0.03129589676168412,0.10374160183117619,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB5,alisertib,AURKA;AURKB,PanCancer,103.12638761321278,0.031537121594254675,0.10276342733009375,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,WP1130,UCHL5;USP14;USP5;USP9X,PanCancer,104.65794500497306,0.03200548776910491,-0.10391762058514557,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,cerulenin,FASN;HMGCS1,PanCancer,110.50926801306358,0.03379488318442311,0.1020299625463633,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DQB1,cyanoquinoline 11,MAP3K8,PanCancer,111.39363221475728,0.03406533095252516,0.13832005955683133,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB1,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,112.54826378764308,0.03441842929285721,0.10063616350479049,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,AZD7545,PDK2,PanCancer,114.73656031114099,0.03508763312267309,0.10095539828766648,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,JQ-1:vorinostat (2:1 mol/mol),BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,115.42730644502663,0.03529887047248521,-0.10213694291216821,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,methotrexate,DHFR,PanCancer,115.43531187958051,0.03530131861760872,-0.1039883698706527,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB5,RITA,MDM2;TP53,PanCancer,116.98048967640602,0.035773850053946794,0.10116303290376061,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DRB1,Compound 7d-cis,XPO1,PanCancer,118.96246267208696,0.03637995800369632,0.10641763833603952,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB5,JQ-1:vorinostat (2:1 mol/mol),BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,121.22109344299714,0.037070670777674966,0.10117495420583385,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
HLA-DQB1,PDMP,UGCG,PanCancer,121.4551501075093,0.03714224773929948,0.10234910916299515,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB1,VER-155008,HSPA1A;HSPA1B;HSPA1L,PanCancer,121.52867723846845,0.037164733100449064,0.0988247153755572,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB5,UNC0321,EHMT2,PanCancer,121.57848354769216,0.037179964387673445,0.09870589272065353,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409543468390576,0.7349239113984294,0.018455904878381717,339.0
RBFOX1,SZ4TA2,BCL2L1,PanCancer,121.68501421297564,0.037212542572775426,-0.14743842428062617,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,thalidomide,CRBN,PanCancer,122.51101004904457,0.037465140687781215,-0.14724484454515138,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,UNC0321,EHMT2,PanCancer,122.83982157948417,0.037565694672625126,0.09850696799340447,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
TPTE,VER-155008,HSPA1A;HSPA1B;HSPA1L,PanCancer,125.24924786512842,0.03830252228291389,0.09824202939495558,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
TPTE,BRD-A05715709,IDH1,PanCancer,125.76160623929182,0.03845920680100667,-0.15191645505433182,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
RBFOX1,3-Cl-AHPC,NR0B2,PanCancer,128.0405981859898,0.039156146234247645,-0.09825739170545918,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,SNS-032,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5,PanCancer,130.04625993261507,0.039769498450341,-0.10209227455995723,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DRB1,TW-37,BCL2;BCL2L1,PanCancer,132.46212424569026,0.04050829487635788,0.10024445491773924,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
TPTE,IPR-456,PLAUR,PanCancer,134.14156391656383,0.04102188498977487,0.09723522420284254,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
HLA-DRB1,PHA-793887,CDK1;CDK2;CDK4;CDK5;CDK7;CDK9,PanCancer,134.31428477234869,0.04107470482334822,0.0972099510436909,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
HLA-DRB1,tretinoin:navitoclax (4:1 mol/mol),RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2,PanCancer,136.05909756918285,0.041608286718404545,0.0977339056144983,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,navitoclax:pluripotin (1:1 mol/mol),BCL2;BCL2L1;BCL2L2;MAPK1;RASAL1,PanCancer,136.97885581559606,0.041889558353393294,-0.09793881098483344,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,WZ8040,EGFR,PanCancer,137.47834938920465,0.042042308681713964,-0.10132992219601597,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,NVP-ADW742,IGF1R,PanCancer,142.0262091556739,0.043433091484915566,-0.09766937112569538,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQB1,Repligen 136,HDAC3,PanCancer,142.54087863058373,0.043590482761646406,-0.10033255034897254,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB1,Ko-143,ABCG2,PanCancer,144.80869876336268,0.0442840057380314,0.09616002919345315,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
RBFOX1,BRD-K29313308,HDAC3,PanCancer,144.85944715485383,0.04429952512380851,-0.09693155830650826,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQB1,NVP-TAE684,ALK,PanCancer,148.02886906679097,0.04526876729871284,0.09616071387438077,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
HLA-DRB1,vorinostat:navitoclax (4:1 mol/mol),HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2,PanCancer,150.65413054486595,0.04607159955500488,0.09636372708542053,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7587286205934314,0.6264547700989053,0.026528487205926647,339.0
